活動天數,活動流水號,活動名稱,活動日期,報名截止日期,活動可參加人數,二人房價格,四人房價格,二人房數,四人房數
1,1,【桃園】魚菜共生~手作樂體驗之旅(適合全年齡),4/13/2019,3/29/2019,40,3000,3000,0,0
1,2,【東北角】卯澳在地行~東北樂體驗(適合全年齡),4/20/2019,4/5/2019,40,3000,3000,0,0
1,3,【新竹】心鮮森林樂野餐~春遊賞螢趣(適合全年齡),5/1/2019,4/26/2019,40,3000,3000,0,0
1,4,【桃園】生態探索~與甲蟲的奇遇記(適合4-6歲親子同樂),7/6/2019,6/21/2019,40,3000,3000,0,0
1,5,【台北】溯溪壯遊~穿越極限之旅(適合10歲以上),7/20/2019,7/5/2019,40,3000,3000,0,0
1,6,【台北】溯溪壯遊~穿越極限之旅(適合10歲以上),7/27/2019,7/12/2019,40,3000,3000,0,0
1,7,【新竹】竹風柿餅~追風樂體驗(適合全年齡),10/5/2019,9/20/2019,40,3000,3000,0,0
1,8,【苗栗】涼秋扎木樂~雕磚泡湯趣(適合全年齡),10/26/2019,10/11/2019,40,3000,3000,0,0
1,9,【苗栗】涼秋扎木樂~雕磚泡湯趣(適合全年齡),11/2/2019,10/18/2019,40,3000,3000,0,0
1,10,【台北】香噴世界~秋食溫泉樂(適合全年齡),11/2/2019,10/18/2019,40,3000,3000,0,0
1,11,【宜蘭】漫步東北角山谷~眺望銀色花海季(適合6歲以上),11/9/2019,10/25/2019,40,3000,3000,0,0
1,12,【苗栗】杭菊遍地開~山城慢遊樂(適合全年齡),11/16/2019,11/1/2019,40,3000,3000,0,0
1,13,【苗栗】杭菊遍地開~山城慢遊樂(適合全年齡),11/23/2019,11/8/2019,40,3000,3000,0,0
1,14,【苗栗】落雨松秘境~冬遊小旅行(適合全年齡),11/30/2019,11/15/2019,40,3000,3000,0,0
1,15,【宜蘭】蘭陽特產手作~繽紛暖冬行(適合全年齡),12/7/2019,11/22/2019,40,3000,3000,0,0
1,16,【苗栗】冬戀溫泉~紅莓樂陶陶之旅(適合全年齡),12/21/2019,12/6/2019,40,3000,3000,0,0
1,17,【苗栗】山城裊裊~冬季彩梅手作行(適合全年齡),12/21/2019,12/6/2019,40,3000,3000,0,0
2,18,【南投】紫色浪漫中台灣~瘋遊瑪雅世界(親子同行-大小孩6-18歲),4/13/2019,3/8/2019,40,5000,5000,14,2
2,19,【屏東】與海龜共舞~潮間帶尋寶趣(青年旅遊),4/13/2019,3/8/2019,40,5000,5000,14,2
2,20,【墾丁】藍色海遇~國境之南悠遊行(青年旅遊),5/4/2019,4/26/2019,40,5000,5000,14,2
2,21,【南投】溪頭森呼吸，忘憂好風情二日遊(全年旅遊),5/18/2019,4/12/2019,40,5000,5000,14,2
2,22,【花蓮】野猴子大奔放~後山秘境行 (親子同行-大小孩6-18歲),6/1/2019,4/26/2019,40,5000,5000,14,2
2,23,【宜蘭】吶山吶海~蘭陽壯遊之旅(青年旅遊),6/15/2019,5/10/2019,40,5000,5000,14,2
2,24,【花蓮】野猴子大奔放~後山秘境行 (親子同行-大小孩6-18歲),6/22/2019,5/17/2019,40,5000,5000,14,2
2,25,【宜蘭】吶山吶海~蘭陽壯遊之旅(青年旅遊),6/15/2019,5/17/2019,40,5000,5000,14,2
2,26,【宜蘭】大手拉小手~踏遊蘭陽之旅(小小孩專用),7/13/2019,6/6/2019,40,5000,5000,14,2
2,27,【嘉義】千年神木~賞玩祝山日出體驗(青年旅遊),7/27/2019,6/21/2019,40,5000,5000,14,2
2,28,【高雄】機場午茶時刻~義大皇家之旅(全年旅遊),8/3/2019,6/28/2109,40,5000,5000,14,2
2,29,【宜蘭】踏上龜山島~蘭陽夏之旅(全年旅遊),8/17/2019,7/12/2019,40,5000,5000,14,2
2,30,【雲林】笑傲樂園任遨遊之旅 (親子同行-大小孩6-18歲),9/21/2019,8/16/2019,40,5000,5000,14,2
2,31,【嘉義】海上漫遊掏寶樂之旅(全年旅遊),9/28/2019,8/23/2019,40,5000,5000,14,2
2,32,【新竹】與長頸鹿有約~綠光小探險之旅(全年旅遊),10/5/2019,9/9/2019,40,5000,5000,14,2
2,33,【台南】赤崁古巷影~雪白博物館之旅(全年旅遊),11/2/2019,7/27/2019,40,5000,5000,14,2
2,34,【高雄】功夫手作醬玩~玩轉高雄行(全年旅遊),11/23/2019,10/18/2019,40,5000,5000,14,2
